Model,MAE_EUR,RMSE_EUR,R2,Training_seconds
Linear Regression,3585024.0365897976,8726865.50621677,0.6545510723016896,0.22827279999910388
Random Forest,2929678.989233503,7065204.38084041,0.7735789801444856,23.65116069999931
XGBoost,2720755.3341024965,6565280.762473253,0.8044877877960244,4.510843099997146
